Class,index_A,index_B,index_A_norm,index_B_norm,index_max,index_min,index_avg,atomic_weight_A+B_weighted,atomic_weight_A/B,atomic_weight_A-B,period_A,period_B,group_A,group_B,group_A-B,Mendeleev_number_A,Mendeleev_number_B,Mendeleev_number_A-B,valencee_total_A,valencee_total_B,valencee_total_A-B,valencee_total_A+B,valencee_total_A+B_weighted,valencee_total_A+B_weighted_norm,unpaired_electrons_A,unpaired_electrons_B,unpaired_electrons_A-B,unpaired_electrons_A+B,unpaired_electrons_A+B_weighted,unpaired_electrons_A+B_weighted_norm,Gilman_A,Gilman_B,Gilman_A-B,Gilman_A+B,Gilman_A+B_weighted,Gilman_A+B_weighted_norm,Z_eff_A,Z_eff_B,Z_eff_A-B,Z_eff_A/B,Z_eff_max,Z_eff_min,Z_eff_avg,Z_eff_A+B_weighted_norm,ionization_energy_A,ionization_energy_B,ionization_energy_A-B,ionization_energy_A/B,ionization_energy_max,ionization_energy_min,ionization_energy_avg,ionization_energy_A+B_weighted_norm,coordination_number_A,coordination_number_B,coordination_number_A-B,ratio_closest_A,ratio_closest_B,ratio_closest_max,ratio_closest_min,ratio_closest_avg,polyhedron_distortion_A,polyhedron_distortion_B,polyhedron_distortion_max,polyhedron_distortion_min,polyhedron_distortion_avg,CIF_radius_A,CIF_radius_B,CIF_radius_A-B,CIF_radius_A/B,CIF_radius_avg,CIF_radius_A+B_weighted_norm,Pauling_radius_CN12_A,Pauling_radius_CN12_B,Pauling_radius_CN12_A-B,Pauling_radius_CN12_A/B,Pauling_radius_CN12_avg,Pauling_radius_CN12_A+B_weighted_norm,Pauling_EN_A,Pauling_EN_B,Pauling_EN_A-B,Pauling_EN_A/B,Pauling_EN_max,Pauling_EN_min,Pauling_EN_avg,Pauling_EN_A+B_weighted_norm,Martynov_Batsanov_EN_A,Martynov_Batsanov_EN_B,Martynov_Batsanov_EN_A-B,Martynov_Batsanov_EN_A/B,Martynov_Batsanov_EN_max,Martynov_Batsanov_EN_min,Martynov_Batsanov_EN_avg,Martynov_Batsanov_EN_A+B_weighted_norm,melting_point_K_A,melting_point_K_B,melting_point_K_A-B,melting_point_K_A/B,melting_point_K_max,melting_point_K_min,melting_point_K_avg,melting_point_K_A+B_weighted_norm,density_A,density_B,density_A-B,density_A/B,density_max,density_min,density_avg,density_A+B_weighted_norm,specific_heat_A,specific_heat_B,specific_heat_A-B,specific_heat_A/B,specific_heat_max,specific_heat_min,specific_heat_avg,specific_heat_A+B_weighted_norm,cohesive_energy_A,cohesive_energy_B,cohesive_energy_A-B,cohesive_energy_A/B,cohesive_energy_max,cohesive_energy_min,cohesive_energy_avg,cohesive_energy_A+B_weighted_norm,bulk_modulus_A,bulk_modulus_B,bulk_modulus_A-B,bulk_modulus_A/B,bulk_modulus_max,bulk_modulus_min,bulk_modulus_avg,bulk_modulus_A+B_weighted_norm
CsCl,1,1,0.5,0.5,1,1,1,132.1732,4.43810739,83.5632,5,3,11,2,9,65,68,-3,11,2,9,13,13,6.5,1,0,1,1,1,0.5,2,2,0,4,4,2,3.73,2.248,1.482,1.65925267,3.73,2.248,2.989,2.989,7.5762,7.6462,-0.07,0.99084513,7.6462,7.5762,7.6112,7.6112,12,12,0,1,0.41666667,1,0.41666667,0.70833333,1,0.995,1,0.995,0.9975,1.443,1.587,-0.144,0.90926276,1.515,1.515,1.442,1.598,-0.156,0.90237797,1.52,1.515,1.93,1.31,0.62,1.47328244,1.93,1.31,1.62,1.62,1.07,1.31,-0.24,0.81679389,1.31,1.07,1.19,1.19,1235.15,922.15,313,1.33942417,1235.15,922.15,1078.65,1078.65,10.5,1.74,8.76,6.03448276,10.5,1.74,6.12,6.12,0.235,1.02,-0.785,0.23039216,1.02,0.235,0.6275,0.6275,2.95,1.51,1.44,1.95364238,2.95,1.51,2.23,2.23,104,35.6,68.4,2.92134831,104,35.6,69.8,69.8
CsCl,1,1,0.5,0.5,1,1,1,85.674939,2.17531698,31.711861,4,3,10,13,-3,61,73,-12,10,3,7,13,13,6.5,2,1,1,3,3,1.5,3,3,0,6,6,3,2.996,1.989,1.007,1.50628457,2.996,1.989,2.4925,2.4925,7.6398,5.9858,1.654,1.27632063,7.6398,5.9858,6.8128,6.8128,12,12,0,1,1,1,1,1,1,1,1,1,1,1.246,1.31,-0.064,0.95114504,1.278,1.278,1.244,1.429,-0.185,0.87053884,1.3365,1.278,1.91,1.61,0.3,1.1863354,1.91,1.61,1.76,1.76,1.76,1.64,0.12,1.07317073,1.76,1.64,1.7,1.7,1726.15,933.15,793,1.84980978,1726.15,933.15,1329.65,1329.65,8.9,2.7,6.2,3.2962963,8.9,2.7,5.8,5.8,0.44,0.9,-0.46,0.48888889,0.9,0.44,0.67,0.67,4.44,3.39,1.05,1.30973451,4.44,3.39,3.915,3.915,177,75.2,101.8,2.3537234,177,75.2,126.1,126.1
CsCl,1,1,0.5,0.5,1,1,1,262.34654,3.01264209,131.58654,6,4,11,12,-1,66,69,-3,25,12,13,37,37,18.5,1,0,1,1,1,0.5,2,1,1,3,3,1.5,4.938,3.322,1.616,1.48645394,4.938,3.322,4.13,4.13,9.2255,9.3942,-0.1687,0.98204211,9.3942,9.2255,9.30985,9.30985,12,12,0,1,0.5,1,0.5,0.75,1,0.922,1,0.922,0.961,1.435,1.333,0.102,1.07651913,1.384,1.384,1.439,1.379,0.06,1.04350979,1.409,1.384,2.54,1.65,0.89,1.53939394,2.54,1.65,2.095,2.095,1.19,1.44,-0.25,0.82638889,1.44,1.19,1.315,1.315,1337.15,692.75,644.4,1.9302057,1337.15,692.75,1014.95,1014.95,19.3,7.13,12.17,2.70687237,19.3,7.13,13.215,13.215,0.128,0.39,-0.262,0.32820513,0.39,0.128,0.259,0.259,3.81,1.35,2.46,2.82222222,3.81,1.35,2.58,2.58,171,69.4,101.6,2.46397695,171,69.4,120.2,120.2
CsCl,1,1,0.5,0.5,1,1,1,413.36367,0.97800238,-4.59707,6,6,13,15,-2,76,86,-10,27,29,-2,56,56,28,1,3,-2,4,4,2,3,5,-2,8,8,4,4.07,4.389,-0.319,0.9273183,4.389,4.07,4.2295,4.2295,6.1082,7.2855,-1.1773,0.83840505,7.2855,6.1082,6.69685,6.69685,12,6,6,0.5,0.5,0.5,0.5,0.5,0.986,0.871,0.986,0.871,0.9285,1.663,1.53,0.133,1.0869281,1.5965,1.5965,1.712,1.7,0.012,1.00705882,1.706,1.5965,1.62,2.02,-0.4,0.8019802,2.02,1.62,1.82,1.82,1.69,2.14,-0.45,0.78971963,2.14,1.69,1.915,1.915,576.15,544.15,32,1.05880731,576.15,544.15,560.15,560.15,11.9,9.75,2.15,1.22051282,11.9,9.75,10.825,10.825,0.13,0.12,0.01,1.08333333,0.13,0.12,0.125,0.125,1.88,2.18,-0.3,0.86238532,2.18,1.88,2.03,2.03,28.5,31.5,-3,0.9047619,31.5,28.5,30,30
CsCl,1,1,0.5,0.5,1,1,1,326.1433,1.67857507,82.6233,6,5,13,15,-2,76,85,-9,27,15,12,42,42,21,1,3,-2,4,4,2,3,5,-2,8,8,4,4.07,3.984,0.086,1.02158635,4.07,3.984,4.027,4.027,6.1082,8.6084,-2.5002,0.70956275,8.6084,6.1082,7.3583,7.3583,12,6,6,0.5,0.5,0.5,0.5,0.5,0.986,0.868,0.986,0.868,0.927,1.663,1.434,0.229,1.15969317,1.5485,1.5485,1.712,1.59,0.122,1.07672956,1.651,1.5485,1.62,2.05,-0.43,0.7902439,2.05,1.62,1.835,1.835,1.69,2.14,-0.45,0.78971963,2.14,1.69,1.915,1.915,576.15,904.15,-328,0.63722834,904.15,576.15,740.15,740.15,11.9,6.69,5.21,1.77877429,11.9,6.69,9.295,9.295,0.13,0.21,-0.08,0.61904762,0.21,0.13,0.17,0.17,1.88,2.75,-0.87,0.68363636,2.75,1.88,2.315,2.315,28.5,38.3,-9.8,0.74412533,38.3,28.5,33.4,33.4
NaCl,1,1,0.5,0.5,1,1,1,169.393,4.28263581,105.261,6,3,2,16,-14,9,88,-79,2,6,-4,8,8,4,0,2,-2,2,2,1,2,6,-4,8,8,4,3.712,2.617,1.095,1.41841804,3.712,2.617,3.1645,3.1645,5.2117,10.36,-5.1483,0.50305985,10.36,5.2117,7.78585,7.78585,14,2,12,0.57142857,0.5,0.57142857,0.5,0.53571429,0.866,0.99853516,0.99853516,0.866,0.93226758,1.994,1.074,0.92,1.8566108,1.534,1.534,2.215,1.27,0.945,1.74409449,1.7425,1.534,0.89,2.58,-1.69,0.34496124,2.58,0.89,1.735,1.735,1.08,2.65,-1.57,0.40754717,2.65,1.08,1.865,1.865,998.15,385.95,612.2,2.58621583,998.15,385.95,692.05,692.05,3.5,2.07,1.43,1.69082126,3.5,2.07,2.785,2.785,0.204,0.71,-0.506,0.28732394,0.71,0.204,0.457,0.457,1.9,2.85,-0.95,0.66666667,2.85,1.9,2.375,2.375,10.2,7.7,2.5,1.32467532,10.2,7.7,8.95,8.95
NaCl,1,1,0.5,0.5,1,1,1,264.927,1.07623041,9.727,6,5,2,16,-14,9,90,-81,2,16,-14,18,18,9,0,2,-2,2,2,1,2,6,-4,8,8,4,3.712,4.067,-0.355,0.91271207,4.067,3.712,3.8895,3.8895,5.2117,9.0096,-3.7979,0.57846075,9.0096,5.2117,7.11065,7.11065,14,2,12,0.57142857,1,1,0.57142857,0.78571429,0.866,1,1,0.866,0.933,1.994,1.417,0.577,1.40719831,1.7055,1.7055,2.215,1.6,0.615,1.384375,1.9075,1.7055,0.89,2.1,-1.21,0.42380952,2.1,0.89,1.495,1.495,1.08,2.38,-1.3,0.45378151,2.38,1.08,1.73,1.73,998.15,722.65,275.5,1.38123573,998.15,722.65,860.4,860.4,3.5,6.24,-2.74,0.56089744,6.24,3.5,4.87,4.87,0.204,0.2,0.004,1.02,0.204,0.2,0.202,0.202,1.9,2.19,-0.29,0.86757991,2.19,1.9,2.045,2.045,10.2,65,-54.8,0.15692308,65,10.2,37.6,37.6
NaCl,1,1,0.5,0.5,1,1,1,104.91738,7.73510782,80.89538,5,2,5,14,-9,47,77,-30,5,4,1,9,9,4.5,3,2,1,5,5,2.5,3,4,-1,7,7,3.5,3.523,1.8193,1.7037,1.93645908,3.523,1.8193,2.67115,2.67115,6.7589,11.2603,-4.5014,0.60024156,11.2603,6.7589,9.0096,9.0096,14,3,11,0.57142857,1,1,0.57142857,0.78571429,0.866,1,1,0.866,0.933,1.426,0.76,0.666,1.87631579,1.093,1.093,1.456,0.914,0.542,1.59299781,1.185,1.093,1.6,2.55,-0.95,0.62745098,2.55,1.6,2.075,2.075,2.03,2.37,-0.34,0.85654008,2.37,2.03,2.2,2.2,2741.15,3640.15,-899,0.75303216,3640.15,2741.15,3190.65,3190.65,8.57,2.25,6.32,3.80888889,8.57,2.25,5.41,5.41,0.26,0.71,-0.45,0.36619718,0.71,0.26,0.485,0.485,7.57,7.37,0.2,1.02713704,7.57,7.37,7.47,7.47,170,443,-273,0.38374718,443,170,306.5,306.5
NaCl,1,1,0.5,0.5,1,1,1,192.9589,15.0651819,168.9369,6,2,5,14,-9,48,77,-29,19,4,15,23,23,11.5,3,2,1,5,5,2.5,3,4,-1,7,7,3.5,4.593,1.8193,2.7737,2.52459737,4.593,1.8193,3.20615,3.20615,7.5496,11.2603,-3.7107,0.67046171,11.2603,7.5496,9.40495,9.40495,14,3,11,0.57142857,1,1,0.57142857,0.78571429,0.866,1,1,0.866,0.933,1.43,0.76,0.67,1.88157895,1.095,1.095,1.457,0.914,0.543,1.5940919,1.1855,1.095,1.5,2.55,-1.05,0.58823529,2.55,1.5,2.025,2.025,1.94,2.37,-0.43,0.8185654,2.37,1.94,2.155,2.155,3269.15,3640.15,-371,0.89808112,3640.15,3269.15,3454.65,3454.65,16.6,2.25,14.35,7.37777778,16.6,2.25,9.425,9.425,0.14,0.71,-0.57,0.1971831,0.71,0.14,0.425,0.425,8.1,7.37,0.73,1.0990502,8.1,7.37,7.735,7.735,196,443,-247,0.44243792,443,196,319.5,319.5
NaCl,1,1,0.5,0.5,1,1,1,59.878,3.98526351,35.856,4,2,4,14,-10,43,77,-34,4,4,0,8,8,4,2,2,0,4,4,2,2,4,-2,6,6,3,2.833,1.8193,1.0137,1.55719233,2.833,1.8193,2.32615,2.32615,6.8281,11.2603,-4.4322,0.60638704,11.2603,6.8281,9.0442,9.0442,12,3,9,0.5,1,1,0.5,0.75,0.977,1,1,0.977,0.9885,1.406,0.76,0.646,1.85,1.083,1.083,1.467,0.914,0.553,1.60503282,1.1905,1.083,1.54,2.55,-1.01,0.60392157,2.55,1.54,2.045,2.045,1.86,2.37,-0.51,0.78481013,2.37,1.86,2.115,2.115,1933.15,3640.15,-1707,0.53106328,3640.15,1933.15,2786.65,2786.65,4.54,2.25,2.29,2.01777778,4.54,2.25,3.395,3.395,0.52,0.71,-0.19,0.73239437,0.71,0.52,0.615,0.615,4.85,7.37,-2.52,0.65807327,7.37,4.85,6.11,6.11,108,443,-335,0.24379233,443,108,275.5,275.5
