Class,A_index,B_index,A_Atomicweight,B_Atomicweight,molar_mass,A/B_AtomicWeight,A_PeriodNumber,B_PeriodNumber,A_Mendeleevnumber,B_Mendeleevnumber,A-B_Mendeleevnumber,A_Zeff,B_Zeff,A-B_Zeff,A+B_Zeff,Largest_Zeff,Lowest_Zeff,Avg_Zeff,"A_Pauling,R(CN12)","B_Pauling,R(CN12)","A/BPauling,R(CN12)","A-BPauling,R(CN12)","Avg_Pauling,R(CN12)",A_MartynovBatsanovEN,B_MartynovBatsanovEN,A-B_MartynovBatsanovEN,A/B_MartynovBatsanovEN,Largest_MartynovBatsanovEN,Lowest_MartynovBatsanovEN,Avg_MartynovBatsanovEN,A_Density,B_Density,A-B_Density,A/B_Density,Largest_Density,Lowest_Density,Avg_Density,A_Cohesiveenergy,B_Cohesiveenergy,A-B_Cohesiveenergy,A/B_Cohesiveenergy,Largest_Cohesiveenergy,Lowest_Cohesiveenergy,Avg_Cohesiveenergy,A_shortest_dist_count,B_shortest_dist_count,A_avg_shortest_dist_count,B_avg_shortest_dist_count,A_shortest_tol_dist_count,B_shortest_tol_dist_count,A_avg_shortest_dist_within_tol_count,B_avg_shortest_dist_within_tol_count,A_second_by_first_shortest_dist,B_second_by_first_shortest_dist,A_avg_second_by_first_shortest_dist,B_avg_second_by_first_shortest_dist,A_second_shortest_dist_count,B_second_shortest_dist_count,A_avg_second_shortest_dist_count,B_avg_second_shortest_dist_count,A_homoatomic_dist_by_shortest_dist,B_homoatomic_dist_by_shortest_dist,A_avg_homoatomic_dist_by_shortest_dist,B_avg_homoatomic_dist_by_shortest_dist,A_count_at_A_shortest_dist,A_count_at_B_shortest_dist,A_avg_count_at_A_shortest_dist,A_avg_count_at_B_shortest_dist,B_count_at_A_shortest_dist,B_count_at_B_shortest_dist,B_avg_count_at_A_shortest_dist,B_avg_count_at_B_shortest_dist,A_lowest_wyckoff_label,B_lowest_wyckoff_label,identical_lowest_wyckoff_count,A_sites_total,B_sites_total,A_multiplicity_total,B_multiplicity_total,distAA,distBB,distAB,Asize,Bsize,Asize_by_Bsize,distAA_by2_byAsize,distBB_by2_byBsize,distAB_by2_byAsizebyBsize,Asize_ref,Bsize_ref,percent_diff_A_by_100,percent_diff_B_by_100,distAA_minus_ref_diff,distBB_minus_ref_diff,distAB_minus_ref_diff,refined_packing_eff,R_factor
Cu3Au,59,49,144.242,118.71,262.952,1.215078763,6,5,19,80,-61,3.822,3.672,0.15,7.494,3.822,3.672,3.747,1.818,1.62,1.122222222,0.198,1.719,1.2,1.88,-0.68,0.638297872,1.88,1.2,1.54,7,7.31,-0.31,0.957592339,7.31,7,7.155,3.4,3.14,0.26,1.082802548,3.4,3.14,3.27,12,12,12,12,12,12,12,12,1.4114,1.4114,1.4114,1.4114,6,6,6,6,1.4129,0.9991,1.4129,0.9991,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.705,3.3269,3.3269,1.6571,1.4899,1.1122,1.4196,1.1165,1.0572,1.6635,1.6635,0.0038,0.1165,0.2929,0,0,0.74048,0.0136
Cu3Au,57,45,140.115,106.42,246.535,1.316622815,6,5,15,62,-47,3.774,3.101,0.673,6.875,3.774,3.101,3.4375,1.818,1.373,1.324107793,0.445,1.5955,1.1,2.08,-0.98,0.528846154,2.08,1.1,1.59,6.66,12,-5.34,0.555,12,6.66,9.33,4.32,3.89,0.43,1.110539846,4.32,3.89,4.105,12,12,12,12,12,12,12,12,1.4124,1.4124,1.4124,1.4124,6,6,6,6,1.4131,0.9992,1.4131,0.9992,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.112,2.9076,2.9076,1.7238,1.3768,1.252,1.1927,1.0559,0.9378,1.4538,1.4538,-0.1566,0.0559,0.2929,0,0,0.74048,0.0277
Cu3Au,38,81,88.90584,207.2,296.10584,0.429082239,5,6,12,81,-69,3.379,4.426,-1.047,7.805,4.426,3.379,3.9025,1.797,1.746,1.029209622,0.051,1.7715,1.41,1.92,-0.51,0.734375,1.92,1.41,1.665,4.47,11.4,-6.93,0.392105263,11.4,4.47,7.935,4.37,2.03,2.34,2.15270936,4.37,2.03,3.2,12,12,12,12,12,12,12,12,1.4135,1.4135,1.4135,1.4135,6,6,6,6,1.4129,0.9991,1.4129,0.9991,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.818,3.4068,3.4068,1.6813,1.7253,0.9745,1.4328,0.9873,1.0001,1.7034,1.7034,0.0132,-0.0127,0.2929,0,0,0.74047,0.0003
Cu3Au,67,30,167.259,69.723,236.982,2.398907104,6,4,35,74,-39,4.018,2.655,1.363,6.673,4.018,2.655,3.3365,1.748,1.408,1.241477273,0.34,1.578,1.2,1.7,-0.5,0.705882353,1.7,1.2,1.45,9.07,5.9,3.17,1.537288136,9.07,5.9,7.485,3.29,2.81,0.48,1.170818505,3.29,2.81,3.05,12,12,12,12,12,12,12,12,1.4175,1.4175,1.4175,1.4175,6,6,6,6,1.4162,1.0014,1.4162,1.0014,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.206,2.9741,2.9741,1.6438,1.2796,1.2846,1.2794,1.1621,1.0173,1.487,1.487,-0.0954,0.1621,0.2929,0,0,0.74048,0.0354
Cu3Au,12,39,26.981539,91.224,118.205539,0.295772373,3,5,73,44,29,1.989,3.401,-1.412,5.39,3.401,1.989,2.695,1.429,1.597,0.894802755,-0.168,1.513,1.64,1.7,-0.06,0.964705882,1.7,1.64,1.67,2.7,6.51,-3.81,0.414746544,6.51,2.7,4.605,3.39,6.25,-2.86,0.5424,6.25,3.39,4.82,12,12,12,12,12,12,12,12,1.4142,1.4142,1.4142,1.4142,6,6,6,6,1.0007,1.4152,1.0007,1.4152,8,12,8,12,4,0,4,0,3,1,1,1,1,3,1,3.0922,4.373,3.0922,1.5585,1.4319,1.0884,0.992,1.527,1.034,1.5461,1.5461,-0.008,0.0797,0,0.2929,0,0.74047,0.0064
Cu3Au,64,49,158.92534,118.71,277.63534,1.338769607,6,5,29,80,-51,3.976,3.672,0.304,7.648,3.976,3.672,3.824,1.773,1.62,1.094444444,0.153,1.6965,1.2,1.88,-0.68,0.638297872,1.88,1.2,1.54,8.23,7.31,0.92,1.125854993,8.23,7.31,7.77,4.05,3.14,0.91,1.289808917,4.05,3.14,3.595,12,12,12,12,12,12,12,12,1.4121,1.4121,1.4121,1.4121,6,6,6,6,1.4124,0.9987,1.4124,0.9987,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.661,3.2958,3.2958,1.6609,1.4899,1.1148,1.4031,1.106,1.046,1.6479,1.6479,-0.0078,0.106,0.2929,0,0,0.74048,0.0113
Cu3Au,64,48,158.92534,114.818,273.74334,1.384150046,6,5,29,75,-46,3.976,3.259,0.717,7.235,3.976,3.259,3.6175,1.773,1.66,1.068072289,0.113,1.7165,1.2,1.63,-0.43,0.736196319,1.63,1.2,1.415,8.23,7.31,0.92,1.125854993,8.23,7.31,7.77,4.05,2.52,1.53,1.607142857,4.05,2.52,3.285,12,12,12,12,12,12,12,12,1.4136,1.4136,1.4136,1.4136,6,6,6,6,1.4139,0.9998,1.4139,0.9998,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.581,3.2393,3.2393,1.6609,1.6085,1.0326,1.3791,1.0069,0.9908,1.6196,1.6196,-0.0248,0.0069,0.2929,0,0,0.74048,0.0007
Cu3Au,69,12,173.045,26.981539,200.026539,6.413459217,6,3,39,73,-34,4.048,1.989,2.059,6.037,4.048,1.989,3.0185,1.933,1.429,1.352694192,0.504,1.681,1.1,1.64,-0.54,0.670731707,1.64,1.1,1.37,6.97,2.7,4.27,2.581481481,6.97,2.7,4.835,1.6,3.39,-1.79,0.471976401,3.39,1.6,2.495,12,12,12,12,12,12,12,12,1.4141,1.4141,1.4141,1.4141,6,6,6,6,1.4155,1.0009,1.4155,1.0009,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.204,2.9727,2.9727,1.8969,1.4319,1.3247,1.1081,1.038,0.893,1.4863,1.4863,-0.2164,0.038,0.2929,0,0,0.74048,0.0483
Cu3Au,63,76,157.25,192.217,349.467,0.818085809,6,6,27,60,-33,4.034,4.908,-0.874,8.942,4.908,4.034,4.471,1.795,1.355,1.324723247,0.44,1.575,1.1,1.87,-0.77,0.588235294,1.87,1.1,1.485,7.9,22.4,-14.5,0.352678571,22.4,7.9,15.15,4.14,6.94,-2.8,0.596541787,6.94,4.14,5.54,12,12,12,12,12,12,12,12,1.417,1.417,1.417,1.417,6,6,6,6,1.4166,1.0017,1.4166,1.0017,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,3.839,2.7146,2.7146,1.7454,1.3542,1.2889,1.0998,1.0023,0.8758,1.3573,1.3573,-0.2224,0.0023,0.2929,0,0,0.74048,0.0494
Cu3Au,67,30,167.259,69.723,236.982,2.398907104,6,4,35,74,-39,4.018,2.655,1.363,6.673,4.018,2.655,3.3365,1.748,1.408,1.241477273,0.34,1.578,1.2,1.7,-0.5,0.705882353,1.7,1.2,1.45,9.07,5.9,3.17,1.537288136,9.07,5.9,7.485,3.29,2.81,0.48,1.170818505,3.29,2.81,3.05,12,12,12,12,12,12,12,12,1.4161,1.4161,1.4161,1.4161,6,6,6,6,1.4158,1.0011,1.4158,1.0011,0,4,0,4,12,8,12,8,1,3,1,1,1,1,3,4.219,2.9833,2.9833,1.6438,1.2796,1.2846,1.2833,1.1657,1.0205,1.4916,1.4916,-0.0926,0.1657,0.2929,0,0,0.74048,0.036
